Cluster,Count,Beta_Min,Beta_Max,Beta_Mean,Risk_Profile
1,108,0.6304200962013818,0.8776827330611069,0.7609727216967102,"LOW BETA / DEFENSIVE (Stable, low market sensitivity)"
2,124,0.10899394883760977,0.6137329679476321,0.448835217152978,MODERATE BETA / MARKET-NEUTRAL (Moves with market)
3,187,0.8835420119800961,1.3021003586636022,1.060917016786153,HIGH BETA / GROWTH (Slightly aggressive)
4,76,1.32774864242154,2.9609591653634353,1.6500715818265295,VERY HIGH BETA / AGGRESSIVE (Amplifies market moves)
